Modelo,MAE,MSE,RMSE,R²
KNN Regressor,3514.2022186455224,30618142.460554037,5533.366286498124,0.8027800796415753
Regressão Linear,4181.194473753654,33596915.85136148,5796.284659276275,0.7835929767120722
Decision Tree Regressor,3074.866285507463,40153988.98731648,6336.717524658684,0.7413570558581717
